,size,H,name,slope,intercept,r_value
73,12000,0.8,0.80_2,-0.6190803450959598,121.22825777737671,-0.1545796228752674
74,12500,0.8,0.80_2,-0.64065402583981,115.76743089715443,-0.15948417770506265
75,13000,0.8,0.80_2,-0.6067390968163653,112.05387978408442,-0.15086856324734924
76,13500,0.8,0.80_2,-0.5482692163713868,112.29022425477925,-0.13911396980325808
77,14000,0.8,0.80_2,-0.520188318003421,113.32393327889436,-0.13289254614659401
78,14500,0.8,0.80_2,-0.4329972463603188,112.53467208387066,-0.11234215006380407
79,15000,0.8,0.80_2,-0.34152091035212495,113.58906204167491,-0.09161137790067457
80,15500,0.8,0.80_2,-0.2257822012984377,115.49743385420032,-0.06298874529913996
81,16000,0.8,0.80_2,-0.1418858166330958,117.470977754885,-0.041552506070588247
82,16500,0.8,0.80_2,-0.2044612801715422,118.66829478961307,-0.06061517322948513
83,17000,0.8,0.80_2,-0.2402161432469422,122.03064316375234,-0.0699259994280223
84,17500,0.8,0.80_2,-0.3093491357295012,130.63513782257408,-0.08344582588421284
85,18000,0.8,0.80_2,-0.3313022236137672,149.85379967880473,-0.07879607147802781
86,18500,0.8,0.80_2,-0.35681388295404015,145.7980020677734,-0.08479636813435533
87,19000,0.8,0.80_2,-0.38420856301181394,141.07124405202347,-0.09144802422443615
88,19500,0.8,0.80_2,-0.39879763644306404,138.15584336493436,-0.0950632195681228
89,20000,0.8,0.80_2,-0.4104788879923861,136.30299184001726,-0.0979619329285537
90,20500,0.8,0.80_2,-0.4347595387468385,132.1602745404136,-0.10389179582849645
91,21000,0.8,0.80_2,-0.4480790419666238,128.58576698592816,-0.10689997889254124
92,21500,0.8,0.80_2,-0.453901230120085,126.98773103722476,-0.10830646190920815
93,22000,0.8,0.80_2,-0.39925956559237574,133.69449774273698,-0.09428958815202183
94,22500,0.8,0.80_2,-0.4028736764092984,133.39178911253657,-0.09542613703268722
95,23000,0.8,0.80_2,-0.4357654643823293,129.44948828904387,-0.10400112992509956
96,23500,0.8,0.80_2,-0.45344335480591097,125.9643035822038,-0.1082024285448927
97,24000,0.8,0.80_2,-0.431168300699388,129.01871530772962,-0.10309231569736745
98,24500,0.8,0.80_2,-0.46030640669965056,125.48947727341331,-0.11065184639038898
99,25000,0.8,0.80_2,-0.4759339991628757,122.67564237907328,-0.11449925518581817
100,500,0.8,0.80_3,-0.053884073027426364,17.477794073587006,-0.04535673237923002
101,1000,0.8,0.80_3,0.6143695155267048,11.630580734256956,0.26020074671970067
102,1500,0.8,0.80_3,0.25097110338108164,36.64946804198827,0.1135668520319032
103,2000,0.8,0.80_3,0.035538217960057995,43.43467206818215,0.02174713806529382
104,2500,0.8,0.80_3,-0.08244194038426672,49.281664701512966,-0.06408181751895439
105,3000,0.8,0.80_3,-0.12949584121184807,51.93467943019826,-0.11836290770970734
106,3500,0.8,0.80_3,-0.16772802926227245,53.59052363335188,-0.16435199142397539
107,4000,0.8,0.80_3,-0.17316966467395212,53.34365811792125,-0.16998905917216034
108,4500,0.8,0.80_3,-0.1351463266795379,51.93855926074065,-0.1247073322998991
109,5000,0.8,0.80_3,-0.11210983605689777,50.68587634108589,-0.09830349529799316
110,5500,0.8,0.80_3,-0.11536277984025463,49.79532061336488,-0.09983542851326238
111,6000,0.8,0.80_3,-0.10497486916135379,48.81706855114153,-0.08755601019077135
112,6500,0.8,0.80_3,-0.0669984993856411,47.087214514057216,-0.04919495665823132
113,7000,0.8,0.80_3,0.06496338514972681,45.990667807848034,0.030779425430949553
